Case ID,Automation Script ID,JiraId,Case,Precondition,Test Steps,Expected,Description,Tags
7903,,FD-33435,"Ensure that the ""Banayan"" link is visible and accessible under the Admin Tools section of the application and check all the status record present on UI",1.Agent must be logged into BTMS,"1.Hover over the Admin
2.Click on the Admin Tools
3.Look for the 'Banyan' link under the 'Manage EDI 214 Statuses: Carriers | Customers' section
4.Click on the Banyan
5.Each row or record should include a 'status' column with the corresponding value as specified below
AUDIT APPROVED
PRO NUMBER
IN TRANSIT
DELIVERED
CANCLED
DELIVERY APPT
PICKED UP
Loading
Departed Terminal Location
Unloaded at Terminal Loaction
Arrived at Terminal Location
LOCATION UPDATE
Out for Delivery
Disptached for Pickup","1.The ""Banayan"" link should be present and visible under the Admin Tools page.
2.Each row or record should contain a status column with values as specified below.
AUDIT APPROVED
PRO NUMBER
IN TRANSIT
DELIVERED
CANCLED
DELIVERY APPT
PICKED UP
Loading
Departed Terminal Location
Unloaded at Terminal Loaction
Arrived at Terminal Location
LOCATION UPDATE
Out for Delivery
Disptached for Pickup",,admintools
7906,,FD-33435,Verify that the agent can successfully Add new record in the Banyan 214 Statuses,1.BTMS Database must be configure,"1.Hover over the Admin
2.Click on the Admin Tools
3.Click on the Banyan under EDI
4.Click on the Add Button
5.Enter the required field in the new row
6.Click on Save
5User should able to add the new record in the Banyan Form",New Record is updated on UI,,admintools
196126,,FD-40120,Verify that data loads correctly after salesperson selection and user can either delete or approve the checked commodities.,User has Admin access,"1.Login into the BTMS application.
2.Select Admin
3.On the Tools section, select 4.Manage Approved LTL Commodities
5.user gets navigated to the LTL Commodities Awaiting Approval (Most Recent) pageand Select a salesperson from the filter and run the report
6.LTL Commodities Awaiting Approval (Most Recent) table should appear for that particular customer.
7.When user click on the checkboxes.
8.Click on the Approve button to approve the checked commodities.
9.Click on the delete button to delete the checked commodities.","Table populates with correct unapproved commodities for selected salesperson only.
User can deleted the commodities by Clicking on the delete button to delete the checked commodities.
User can approve the commodities by Clicking Approve button to approve the checked commodities.
Column name on the  LTL Commodities Awaiting Approval (Most Recent) page
CREATED
# REQ
SALESPERSON
CUSTOMER
D
COMMODITY
DIMENSIONS
DENS
STCK
HM
NMFC
CLASS
SHIP ZIP
SHIP CITY/STATES",,"admin,ltl"
196127,,FD-40120,Verify that click on the switch to approved navigates user to Approved LTL Commodities page after salesperson selection and user can delete  checked commodities.,User has Admin access,"1.Login into the BTMS application.2.Select Admin3.On the Tools section, select 4.Manage Approved LTL Commodities5.user gets navigated to the LTL Commodities Awaiting Approval (Most Recent) page.6. Click on the switch to approved hyperlink.7.User gets navigated to the Approved LTL Commodities page.8.Select a salesperson from the filter.9.Approved commodities for that saleperson are displayed.When user click on the checkboxes.10.Click on the delete button to delete the checked commodities.",Table populates with correct approved commodities for selected salesperson only.User can deleted the commodities by Clicking on the delete button to delete the checked commodities.column name on the Approved LTL Commodities page.APPROVAL DATEAPPROVED BYCREATEDSALESPERSONCUSTOMERDCOMMODITYDIMENSIONSDENSSTCKHMNMFCCLASSSHIP ZIPSHIP CITY/STATE,,"admin,ltl"
196130,,FD-40120,Verify that  result is not displayed until no salesperson is selected.,User has Admin access,"1.Login into the BTMS application.
2.Select Admin
3.On the Tools section, select Manage Approved LTL Commodities
4.user gets navigated to the LTL Commodities Awaiting Approval (Most Recent) page
5.Do not select anything from the filter.","User is still on the LTL Commodities Awaiting Approval (Most Recent) page along with filter  and a text message "" ""Select a salesperson or customer from the filter above to view results.""
Approve checked ,Delete checked button and switch to approved hyperlink is present.",,"admin,ltl"
7900,,FD-33444,Verify the response based on the 'Enable AI Negotiation' and 'Allow AI to Negotiate' fields,Load and office records exist with appropriate field values,"1. Set 'Enable AI Negotiation' to YES on the office record,2. Set 'Allow AI to Negotiate' to YES on the load record,3. Send a GET request to /webhook/happy/loads/{id},4. Verify the response is 200 OK",200 OK response,,"btmsapi,loadsearch,officesearch"
24734,,FD-33583,Verifying that while updating the load status 'Update to Invoiced' updates load status.,User must have an access to BTMS.User must be assigned to below roles :<strong>BILLING_MANAGER</strong><strong>BILLING_QUEUE_VIEWER</strong><strong>BTMS_USER</strong><strong>IBO_BILLING</strong><strong>NON_OP_BILLER</strong><strong>PAYABLES_MANAGER</strong>,"Log in to the BTMS application.Create a new office.Create a new agent and assign the newly created office to the agent.Ensure the following user roles to the agent:<ul><strong>BILLING_MANAGER</strong><strong>BILLING_QUEUE_VIEWER</strong><strong>BTMS_USER</strong><strong>IBO_BILLING</strong><strong>NON_OP_BILLER</strong><strong>PAYABLES_MANAGER</strong></ul>Log in using the newly created agent credentials.Create a new load or use an existing one.Navigate to <strong>Customer &gt; Billing Queue</strong>.Set the status filter to <strong>Delivered Final</strong> and click <strong>Search</strong>.Select a load from the results and open its <strong>Load Details</strong> page.Scroll down and click on <strong>Update to Invoiced</strong>.A confirmation pop-up will appear.Click <strong>OK</strong> to confirm.The load status will update to <strong>Already Invoiced</strong>, and the Billing Queue will automatically move to the next load.",Load status should be changes to ALREADY INVOICED.,,search
61577,,FD-36679,Verify Password Reset Functionality,Ensure the user is having access to BTMS,"1. Login into BTMS.
2. Navigate to Admin &gt; Agent Search
3. Search by using the Agent name.
4. Select the required agent and user will be moved to Agent Info.
5. Click on Reset Password button.
6. Confirm this by clicking  OK on alert.  
7. The reset request will be sent to the corresponding email mentioned in the Agent detail.
8. Once the email is received, Click on the Hyperlink.
9. Update the New password and Confirm it.
10. Logging in with new password.",Ensure the user is able to login with the newly reset password,,passwordreset
336391,,FD-44421,Verify Summary filter when toggle NO,User with access,Set toggle NO and search,Only Pay=YES agents shown,,"agentsearch,reports"
336392,,FD-44421,Verify Summary filter when toggle YES,User with access,Set toggle YES and search,Only Pay=NO agents shown,,"agentsearch,reports"
336395,,FD-44421,Verify standard pay agent unaffected,Agent Pay=YES,Process commissions,Commissions processed normally,,"agentsearch,reports"
336398,,FD-44421,Verify Details filter when toggle NO,User with access,Set toggle NO and search,Only Pay=YES agents shown,,"agentsearch,reports"
336399,,FD-44421,Verify Details filter when toggle YES,User with access,Set toggle YES and search,Only Pay=NO agents shown,,"agentsearch,reports"
195982,,FD-42943,Verify that Banyan/P44 PDF and non?PDF handled the same,"1.e?dispatch doc upload webservice is available.
2.Two files for same source (Banyan or P44): one PDF, one non?PDF.
3. Load Should be ELTL.","1. Login into BTMS
2. Click on admin
3. click on Simulate E-Dispatch Document Upload.
4. Fill the requried field.
5.Upload a PDF from Banyan (or Project44) via the e?dispatch webservice.
6.Upload a non?PDF (e.g., .jpg or .docx) from the same source.
3.Compare routing, Imaging API calls, and log entries for both uploads.","1.Both PDF and non?PDF files from Banyan/Project44 follow the same processing flow.
2.Both are forwarded to the Imaging API; there is no difference in behavior based on file type (other than MIME/type).",,banyan
