Sno,Case ID,Case,Automation,Configurations,Created at,Created by,Folder,Issues,Priority,State,Status (latest),Tags,Updated by,Automation Script ID,Estimate,Expected,Forecast,JiraId,Precondition,Status date,Template,Test Steps,TPO Regression,Updated at,Description
1,7903,"Ensure that the ""Banayan"" link is visible and accessible under the Admin Tools section of the application and check all the status record present on UI",Will Automate,,2025-06-26T18:57:53.912Z,Greg Burke,Admin,,High,Active,,admintools,Rohit Singh,,,"1.The ""Banayan"" link should be present and visible under the Admin Tools page.
2.Each row or record should contain a status column with values as specified below.
AUDIT APPROVED
PRO NUMBER
IN TRANSIT
DELIVERED
CANCLED
DELIVERY APPT
PICKED UP
Loading
Departed Terminal Location
Unloaded at Terminal Loaction
Arrived at Terminal Location
LOCATION UPDATE
Out for Delivery
Disptached for Pickup",,FD-33435,1.Agent must be logged into BTMS,,Case (text),"1.Hover over the Admin
2.Click on the Admin Tools
3.Look for the 'Banyan' link under the 'Manage EDI 214 Statuses: Carriers | Customers' section
4.Click on the Banyan
5.Each row or record should include a 'status' column with the corresponding value as specified below
AUDIT APPROVED
PRO NUMBER
IN TRANSIT
DELIVERED
CANCLED
DELIVERY APPT
PICKED UP
Loading
Departed Terminal Location
Unloaded at Terminal Loaction
Arrived at Terminal Location
LOCATION UPDATE
Out for Delivery
Disptached for Pickup",,2025-07-15T11:07:57.276Z,
2,7906,Verify that the agent can successfully Add new record in the Banyan 214 Statuses,Will Automate,,2025-06-26T18:57:53.942Z,Greg Burke,Admin,,High,Active,,admintools,Rohit Singh,,,New Record is updated on UI,,FD-33435,1.BTMS Database must be configure,,Case (text),"1.Hover over the Admin
2.Click on the Admin Tools
3.Click on the Banyan under EDI
4.Click on the Add Button
5.Enter the required field in the new row
6.Click on Save
5User should able to add the new record in the Banyan Form",,2025-07-15T11:07:57.276Z,
3,196126,Verify that data loads correctly after salesperson selection and user can either delete or approve the checked commodities.,Will Automate,,2026-04-29T11:33:41.728Z,Kavisha Garg,Admin,,Smoke,Active,Passed,"admin,ltl",,,,"Table populates with correct unapproved commodities for selected salesperson only.
User can deleted the commodities by Clicking on the delete button to delete the checked commodities.
User can approve the commodities by Clicking Approve button to approve the checked commodities.
Column name on the  LTL Commodities Awaiting Approval (Most Recent) page
CREATED
# REQ
SALESPERSON
CUSTOMER
D
COMMODITY
DIMENSIONS
DENS
STCK
HM
NMFC
CLASS
SHIP ZIP
SHIP CITY/STATES",,FD-40120,User has Admin access,2026-04-29T15:24:30.859Z,Case (text),"1.Login into the BTMS application.
2.Select Admin
3.On the Tools section, select 4.Manage Approved LTL Commodities
5.user gets navigated to the LTL Commodities Awaiting Approval (Most Recent) pageand Select a salesperson from the filter and run the report
6.LTL Commodities Awaiting Approval (Most Recent) table should appear for that particular customer.
7.When user click on the checkboxes.
8.Click on the Approve button to approve the checked commodities.
9.Click on the delete button to delete the checked commodities.",No,,
4,196127,Verify that click on the switch to approved navigates user to Approved LTL Commodities page after salesperson selection and user can delete  checked commodities.,Will Automate,,2026-04-29T11:33:41.739Z,Kavisha Garg,Admin,,High,Active,Passed,"admin,ltl",Kavisha Garg,,,Table populates with correct approved commodities for selected salesperson only.User can deleted the commodities by Clicking on the delete button to delete the checked commodities.column name on the Approved LTL Commodities page.APPROVAL DATEAPPROVED BYCREATEDSALESPERSONCUSTOMERDCOMMODITYDIMENSIONSDENSSTCKHMNMFCCLASSSHIP ZIPSHIP CITY/STATE,,FD-40120,User has Admin access,2026-04-29T13:16:36.634Z,Case (text),"1.Login into the BTMS application.2.Select Admin3.On the Tools section, select 4.Manage Approved LTL Commodities5.user gets navigated to the LTL Commodities Awaiting Approval (Most Recent) page.6. Click on the switch to approved hyperlink.7.User gets navigated to the Approved LTL Commodities page.8.Select a salesperson from the filter.9.Approved commodities for that saleperson are displayed.When user click on the checkboxes.10.Click on the delete button to delete the checked commodities.",No,2026-04-29T13:16:04.342Z,
5,196130,Verify that  result is not displayed until no salesperson is selected.,Will Automate,,2026-04-29T11:33:41.772Z,Kavisha Garg,Admin,,High,Active,Passed,"admin,ltl",,,,"User is still on the LTL Commodities Awaiting Approval (Most Recent) page along with filter  and a text message "" ""Select a salesperson or customer from the filter above to view results.""
Approve checked ,Delete checked button and switch to approved hyperlink is present.",,FD-40120,User has Admin access,2026-04-29T13:18:00.487Z,Case (text),"1.Login into the BTMS application.
2.Select Admin
3.On the Tools section, select Manage Approved LTL Commodities
4.user gets navigated to the LTL Commodities Awaiting Approval (Most Recent) page
5.Do not select anything from the filter.",No,,
6,7900,Verify the response based on the 'Enable AI Negotiation' and 'Allow AI to Negotiate' fields,Will Automate,,2025-06-26T18:57:53.886Z,Greg Burke,API,,High,Active,,"btmsapi,loadsearch,officesearch",Kavisha Garg,,,200 OK response,,FD-33444,Load and office records exist with appropriate field values,,Case (text),"1. Set 'Enable AI Negotiation' to YES on the office record,2. Set 'Allow AI to Negotiate' to YES on the load record,3. Send a GET request to /webhook/happy/loads/{id},4. Verify the response is 200 OK",,2025-09-09T09:55:25.056Z,
7,24734,Verifying that while updating the load status 'Update to Invoiced' updates load status.,Will Automate,,2025-07-11T09:31:28.634Z,Pragya Yadav,Agent,,Smoke,Active,Passed,search,Tejaswini Mudhuluru,,,Load status should be changes to ALREADY INVOICED.,,FD-33583,User must have an access to BTMS.User must be assigned to below roles :<strong>BILLING_MANAGER</strong><strong>BILLING_QUEUE_VIEWER</strong><strong>BTMS_USER</strong><strong>IBO_BILLING</strong><strong>NON_OP_BILLER</strong><strong>PAYABLES_MANAGER</strong>,2025-07-17T12:49:48.851Z,Case (text),"Log in to the BTMS application.Create a new office.Create a new agent and assign the newly created office to the agent.Ensure the following user roles to the agent:<ul><strong>BILLING_MANAGER</strong><strong>BILLING_QUEUE_VIEWER</strong><strong>BTMS_USER</strong><strong>IBO_BILLING</strong><strong>NON_OP_BILLER</strong><strong>PAYABLES_MANAGER</strong></ul>Log in using the newly created agent credentials.Create a new load or use an existing one.Navigate to <strong>Customer &gt; Billing Queue</strong>.Set the status filter to <strong>Delivered Final</strong> and click <strong>Search</strong>.Select a load from the results and open its <strong>Load Details</strong> page.Scroll down and click on <strong>Update to Invoiced</strong>.A confirmation pop-up will appear.Click <strong>OK</strong> to confirm.The load status will update to <strong>Already Invoiced</strong>, and the Billing Queue will automatically move to the next load.",,2025-09-03T11:56:09.832Z,
8,61577,Verify Password Reset Functionality,Will Automate,,2025-09-04T14:14:26.745Z,Tejaswini Mudhuluru,Agent,,High,Active,Passed,passwordreset,,,,Ensure the user is able to login with the newly reset password,,FD-36679,Ensure the user is having access to BTMS,2025-09-04T14:17:09.242Z,Case (text),"1. Login into BTMS.
2. Navigate to Admin &gt; Agent Search
3. Search by using the Agent name.
4. Select the required agent and user will be moved to Agent Info.
5. Click on Reset Password button.
6. Confirm this by clicking  OK on alert.  
7. The reset request will be sent to the corresponding email mentioned in the Agent detail.
8. Once the email is received, Click on the Hyperlink.
9. Update the New password and Confirm it.
10. Logging in with new password.",,,
9,336391,Verify Summary filter when toggle NO,Will Automate,,2026-06-22T12:49:10.110Z,Apurva Katyayni,Agent,,High,Active,Passed,"agentsearch,reports",,,,Only Pay=YES agents shown,,FD-44421,User with access,2026-06-22T12:53:14.913Z,Case (text),Set toggle NO and search,No,,
10,336392,Verify Summary filter when toggle YES,Will Automate,,2026-06-22T12:49:10.127Z,Apurva Katyayni,Agent,,High,Active,Passed,"agentsearch,reports",,,,Only Pay=NO agents shown,,FD-44421,User with access,2026-06-22T12:53:22.797Z,Case (text),Set toggle YES and search,No,,
11,336395,Verify standard pay agent unaffected,Will Automate,,2026-06-22T12:49:10.179Z,Apurva Katyayni,Agent,,High,Active,Passed,"agentsearch,reports",,,,Commissions processed normally,,FD-44421,Agent Pay=YES,2026-06-22T12:53:47.375Z,Case (text),Process commissions,No,,
12,336398,Verify Details filter when toggle NO,Will Automate,,2026-06-22T12:49:10.230Z,Apurva Katyayni,Agent,,High,Active,Passed,"agentsearch,reports",,,,Only Pay=YES agents shown,,FD-44421,User with access,2026-06-22T12:54:25.540Z,Case (text),Set toggle NO and search,No,,
13,336399,Verify Details filter when toggle YES,Will Automate,,2026-06-22T12:49:10.247Z,Apurva Katyayni,Agent,,High,Active,Passed,"agentsearch,reports",,,,Only Pay=NO agents shown,,FD-44421,User with access,2026-06-22T12:54:33.107Z,Case (text),Set toggle YES and search,No,,
14,195982,Verify that Banyan/P44 PDF and non?PDF handled the same,Will Automate,,2026-04-22T15:31:26.554Z,Pragya Yadav,Banyan / P44,,Smoke,Active,Passed,banyan,,,,"1.Both PDF and non?PDF files from Banyan/Project44 follow the same processing flow.
2.Both are forwarded to the Imaging API; there is no difference in behavior based on file type (other than MIME/type).",,FD-42943,"1.e?dispatch doc upload webservice is available.
2.Two files for same source (Banyan or P44): one PDF, one non?PDF.
3. Load Should be ELTL.",2026-04-22T15:36:50.022Z,Case (text),"1. Login into BTMS
2. Click on admin
3. click on Simulate E-Dispatch Document Upload.
4. Fill the requried field.
5.Upload a PDF from Banyan (or Project44) via the e?dispatch webservice.
6.Upload a non?PDF (e.g., .jpg or .docx) from the same source.
3.Compare routing, Imaging API calls, and log entries for both uploads.",No,,
15,61473,Verify the functionality where values are selected in all the mentioned filters and results are appearing as expected.,Will Automate,,2025-08-27T17:10:17.162Z,Ashima Miglani,Carrier,,Smoke,Active,Passed,carriersearch,Ashima Miglani,,,"All the newly added columns should be visible after unhiding.Correct data should be displayed in each column, consistent with filter criteria.",,FD-34808,"1.Carrier Search page is loaded.2.Carrier data includes contact department value, contact names, contact email and insurance agent name.",2025-09-05T13:42:10.410Z,Case (text),"1.Login into the BTMS.2.Navigate to the Carrier Search Page.3.Observe the filter section layout.4. Click on the Contact Department dropdown and select a value.5.Enter a Contact Name.6. Enter a Contact email.7.Enter an insurance agent name (e.g., 'Jane Smith').8.Click Search and review the results.9.Check visible columns and verify the following columns should be hidden by default:- Contact Department- Contact Name- Contact Email- Insurance Agent Name10.Unhide the columns from the filtered results page and observe.",,2025-08-27T17:11:26.955Z,
16,82782,Verify fee calculation in Carrier Checks Queue and load tab.,Will Automate,,2025-10-31T16:12:27.692Z,Ashima Miglani,Carrier,,Smoke,Active,Passed,"carriersearch,loadsearch",,,,"Fee should match configured percentage (e.g., 1.5% of $1000 = $15)",,FD-37670,Carrier has Quick Pay with custom Fee Percent.,2025-11-06T17:00:20.257Z,Case (text),"1. Login into the BTMS.
2. Navigate to the Carriers tab.
3. Click on the Search option and type any carrier name.
4. Navigate to Carrier Page and click on the Edit button.
5. Click on the ""Payment Terms"" dropdown and select ""Quick Pay"" option. 6.Observe the Fee Percent field and override checkbox.
7.Check the checkbox and observe.
8. Try entering input values as mentioned in the Preconditions in the Fee Percent field.
9.Enter the value and click on the ""Save"" button and observe.
10. Go to the Loads and create a new load with the same carrier and observe the carrier payment in the Load tab.(Add Manual ACH).
11. Navigate to the Finance Page and click on the Carrier Check Queue link and observe.",No,,
17,82784,Verify Quick Pay Fee % calculation across all invoicing flows.,Will Automate,,2025-10-31T16:12:27.718Z,Ashima Miglani,Carrier,,High,Active,Passed,"carriersearch,loadsearch",,,,"Fee should match the configured percentage for Quick Pay across all invoicing flows (e.g., 4.25% of $1000 = $42.50).",,FD-37670,Carrier has Quick Pay selected with a custom Fee Percent configured.,2025-11-06T17:00:55.997Z,Case (text),"1. Login into the BTMS.
2. Navigate to the Carriers tab.
3. Click on the Search option and type any carrier name.
4. Navigate to Carrier Page and click on the Edit button.
5. Click on the ""Payment Terms"" dropdown and select ""Quick Pay"" option. 6.Observe the Fee Percent field and override checkbox.
7.Check the checkbox and observe.
8. Try entering input values as mentioned in the Preconditions in the Fee Percent field.
9.Enter the value and click on the ""Save"" button and observe.
10. Go to the Loads and create a new load with the same carrier and observe the carrier payment in the Load tab.
11. Process invoicing using each flow:
Manual
Doc Uploader
EDI 210
Transflo
12. Navigate to the Carrier Checks section on the load tab and Carrier Checks Queue report in Finance.
13. Observe the fee applied for Quick Pay.",No,,
18,97843,Verify Email sorting functionality.,Will Automate,,2026-01-01T07:07:46.794Z,Ashima Miglani,Carrier,,High,Active,Passed,carriersearch,,,,Sorting should work correctly with accurate email values.,,FD-37580,Multiple carriers with different emails present.,2026-01-01T07:57:58.971Z,Case (text),"1. Login into the BTMS.
2. Navigate to the Carrier Tab.
3. Select Carrier Search Page.
4. Enter any values and click on the Search button and observe.
5. Observe the Carrier Search Report.",No,,
19,97860,Verify that when highway_rules_assessment is Fail -> carrier status updated to ON HOLD.,Will Automate,,2026-01-05T07:29:13.106Z,Pragya Yadav,Carrier,,Smoke,Active,,carriersearch,,,,Rules assessment fails; carrier status transitions to ON HOLD. Logs/audit show highway_rules_assessment=Fail .,,FD-40035,"1.User is logged into BTMS.
2. CMD record exists for target carrier with highway_rules_assessment=Fail.
3. Autocorrect rule configured to set status ON HOLD on Fail.",,Case (text),"1.Login to BTMS
2.Navigate to carrier &gt; Carrier Search
3.Apply the required filters and click on Search.
4.Open the carrier.
5.Verify that when  Fail -&gt; carrier status updated to ON HOLD.",No,,
20,97861,Verify that when  highway_rules_assessment is Pass -> rules assessment passes and Autocorrect continues,Will Automate,,2026-01-05T07:29:13.114Z,Pragya Yadav,Carrier,,High,Active,,carriersearch,,,,"Rules assessment passes; carrier is not put ON HOLD due to this rule, and Autocorrect proceeds with remaining checks.",,FD-40035,"1. User is logged into BTMS.
2. CMD record exists with highway_rules_assessment=Pass.
3. Other Autocorrect validations configured.",,Case (text),"1.Login to BTMS
2.Navigate to carrier &gt; Carrier Search
3.Apply the required filters and click on Search.
4.Open the carrier.
5. Trigger Autocorrect.
6. Confirm rules assessment result is Pass.
7. Verify Autocorrect executes subsequent validations to determine final status.",No,,
21,117099,Verify SUPER_ADMIN users can log in successfully to Carrier Portal.,Will Automate,,2026-01-27T17:16:52.270Z,Ashima Miglani,Carrier,,High,Active,Passed,carrierportal,,,,Login is successful for each specified user and user lands on Carrier Portal home/dashboard without errors.,,FD-34889,"1. Carrier Portal is accessible.
2. User account exists and are active in Carrier Portal.",2026-01-28T17:10:45.737Z,Case (text),"1. Open Carrier Portal login page.
2. Enter credentials for each user listed in the ticket (one by one).
3. Click Login and observe.",No,,
